TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy,Maxnodes
D1,All,cobweb4v,350,1,0.9513,250
D1,All,cobweb4v,150,1,0.9505,250
D1,All,cobweb4v,550,1,0.9553,250
D1,All,cobweb4v,456,1,0.9535,250
D1,All,cobweb4v,250,1,0.9481,250
D1,All,cobweb4v,123,1,0.954,250
D1,All,cobweb4v,450,1,0.9512,250
D1,All,cobweb4v,789,1,0.9477,250
D1,All,cobweb4v,0,1,0.9505,250
D1,All,cobweb4v,50,1,0.9493,250
D1,All,cobweb4v,350,1,0.9516,450
D1,All,cobweb4v,150,1,0.9508,450
D1,All,cobweb4v,550,1,0.9559,450
D1,All,cobweb4v,456,1,0.954,450
D1,All,cobweb4v,250,1,0.9487,450
D1,All,cobweb4v,123,1,0.9546,450
D1,All,cobweb4v,450,1,0.9516,450
D1,All,cobweb4v,789,1,0.9484,450
D1,All,cobweb4v,0,1,0.9508,450
D1,All,cobweb4v,50,1,0.9502,450
D1,All,cobweb4v,350,1,0.9507,150
D1,All,cobweb4v,150,1,0.9492,150
D1,All,cobweb4v,550,1,0.9547,150
D1,All,cobweb4v,456,1,0.9515,150
D1,All,cobweb4v,250,1,0.9466,150
D1,All,cobweb4v,123,1,0.9525,150
D1,All,cobweb4v,450,1,0.9498,150
D1,All,cobweb4v,789,1,0.946,150
D1,All,cobweb4v,0,1,0.9495,150
D1,All,cobweb4v,50,1,0.9474,150
D1,All,cobweb4v,350,1,0.9516,350
D1,All,cobweb4v,150,1,0.9507,350
D1,All,cobweb4v,550,1,0.9556,350
D1,All,cobweb4v,456,1,0.9538,350
D1,All,cobweb4v,250,1,0.9486,350
D1,All,cobweb4v,123,1,0.9545,350
D1,All,cobweb4v,450,1,0.9514,350
D1,All,cobweb4v,789,1,0.9482,350
D1,All,cobweb4v,0,1,0.9508,350
D1,All,cobweb4v,50,1,0.95,350
D1,All,cobweb4v,350,1,0.9516,400
D1,All,cobweb4v,150,1,0.9508,400
D1,All,cobweb4v,550,1,0.9557,400
D1,All,cobweb4v,456,1,0.9539,400
D1,All,cobweb4v,250,1,0.9487,400
D1,All,cobweb4v,123,1,0.9545,400
D1,All,cobweb4v,450,1,0.9515,400
D1,All,cobweb4v,789,1,0.9483,400
D1,All,cobweb4v,0,1,0.9508,400
D1,All,cobweb4v,50,1,0.9502,400
D1,All,cobweb4v,350,1,0.9414,50
D1,All,cobweb4v,150,1,0.9407,50
D1,All,cobweb4v,550,1,0.9456,50
D1,All,cobweb4v,456,1,0.942,50
D1,All,cobweb4v,250,1,0.9388,50
D1,All,cobweb4v,123,1,0.9441,50
D1,All,cobweb4v,450,1,0.9418,50
D1,All,cobweb4v,789,1,0.9358,50
D1,All,cobweb4v,0,1,0.9432,50
D1,All,cobweb4v,50,1,0.9395,50
D1,All,cobweb4v,350,1,0.9508,200
D1,All,cobweb4v,150,1,0.95,200
D1,All,cobweb4v,550,1,0.9552,200
D1,All,cobweb4v,456,1,0.9528,200
D1,All,cobweb4v,250,1,0.9478,200
D1,All,cobweb4v,123,1,0.9534,200
D1,All,cobweb4v,450,1,0.9506,200
D1,All,cobweb4v,789,1,0.9473,200
D1,All,cobweb4v,0,1,0.9502,200
D1,All,cobweb4v,50,1,0.9486,200
D1,All,cobweb4v,350,1,0.9517,500
D1,All,cobweb4v,150,1,0.9509,500
D1,All,cobweb4v,550,1,0.9559,500
D1,All,cobweb4v,456,1,0.9542,500
D1,All,cobweb4v,250,1,0.9487,500
D1,All,cobweb4v,123,1,0.9547,500
D1,All,cobweb4v,450,1,0.9515,500
D1,All,cobweb4v,789,1,0.9484,500
D1,All,cobweb4v,0,1,0.9509,500
D1,All,cobweb4v,50,1,0.9502,500
D1,All,cobweb4v,350,1,0.9487,100
D1,All,cobweb4v,150,1,0.9468,100
D1,All,cobweb4v,550,1,0.9532,100
D1,All,cobweb4v,456,1,0.9489,100
D1,All,cobweb4v,250,1,0.9451,100
D1,All,cobweb4v,123,1,0.9509,100
D1,All,cobweb4v,450,1,0.9476,100
D1,All,cobweb4v,789,1,0.9436,100
D1,All,cobweb4v,0,1,0.9478,100
D1,All,cobweb4v,50,1,0.945,100
D1,All,cobweb4v,350,1,0.9516,300
D1,All,cobweb4v,150,1,0.9507,300
D1,All,cobweb4v,550,1,0.9554,300
D1,All,cobweb4v,456,1,0.9537,300
D1,All,cobweb4v,250,1,0.9484,300
D1,All,cobweb4v,123,1,0.9543,300
D1,All,cobweb4v,450,1,0.9512,300
D1,All,cobweb4v,789,1,0.948,300
D1,All,cobweb4v,0,1,0.9507,300
D1,All,cobweb4v,50,1,0.9497,300